Rank,Team,G,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,PTS,REB,AST,STL,BLK,TO,PF
1,Milwaukee Bucks,73,3160,6638,1007,2840,1336,1800,691,3083,8663,3774,1889,526,429,1102,1431
2,Houston Rockets,72,2936,6512,1126,3261,1484,1876,704,2484,8482,3188,1557,627,371,1057,1566
3,Dallas Mavericks,75,3124,6772,1136,3095,1392,1787,791,2729,8776,3520,1849,460,363,953,1462
4,LA Clippers,72,2992,6425,895,2410,1498,1894,767,2664,8377,3431,1708,511,338,1051,1594
5,New Orleans Pelicans,72,3065,6598,982,2656,1229,1687,797,2551,8341,3348,1932,539,358,1181,1524
6,Portland Trail Blazers,74,3122,6749,952,2525,1312,1632,754,2599,8508,3353,1525,465,451,946,1606
7,Washington Wizards,72,2990,6544,864,2345,1394,1770,732,2295,8238,3027,1801,574,309,1020,1634
8,San Antonio Spurs,71,2995,6350,760,2021,1348,1664,640,2530,8098,3170,1751,518,390,895,1377
9,Boston Celtics,72,2971,6448,905,2487,1336,1668,768,2549,8183,3317,1655,595,406,995,1553
10,Phoenix Suns,73,3006,6429,831,2320,1451,1740,712,2465,8294,3177,1987,559,290,1077,1609
11,Los Angeles Lakers,71,3006,6269,782,2242,1260,1728,757,2490,8054,3247,1803,612,468,1077,1471
12,Minnesota Timberwolves,64,2586,5865,853,2540,1223,1624,675,2193,7248,2868,1525,555,362,981,1370
13,Toronto Raptors,72,2897,6331,995,2663,1329,1670,685,2583,8118,3268,1816,636,358,1067,1559
14,Memphis Grizzlies,73,3106,6634,798,2297,1212,1589,754,2643,8222,3397,1965,576,398,1113,1546
15,Miami Heat,73,2880,6160,979,2584,1440,1840,620,2619,8179,3239,1892,547,332,1088,1501
16,Atlanta Hawks,67,2723,6067,805,2416,1237,1566,661,2237,7488,2898,1605,523,341,1086,1548
17,Brooklyn Nets,72,2908,6498,941,2746,1291,1732,766,2683,8048,3449,1761,464,323,1099,1510
18,Utah Jazz,72,2886,6130,963,2537,1278,1641,656,2577,8013,3233,1615,438,292,1089,1468
19,Denver Nuggets,73,3069,6488,801,2234,1185,1526,786,2436,8124,3222,1952,586,337,1005,1485
20,Philadelphia 76ers,73,3000,6417,848,2307,1236,1638,764,2553,8084,3317,1884,586,389,1037,1529
21,Oklahoma City Thunder,72,2879,6156,770,2171,1422,1787,593,2495,7950,3088,1562,550,353,986,1390
22,Sacramento Kings,72,2943,6364,914,2511,1127,1464,695,2372,7927,3067,1713,556,293,1043,1595
23,Indiana Pacers,73,3075,6457,743,2046,1096,1393,636,2489,7989,3125,1888,543,376,967,1445
24,Orlando Magic,73,2871,6468,807,2354,1282,1656,751,2498,7831,3249,1747,599,396,937,1336
25,Detroit Pistons,66,2595,5658,791,2157,1097,1476,644,2109,7078,2753,1589,490,299,1008,1299
26,Cleveland Cavaliers,65,2619,5715,727,2070,983,1296,704,2172,6948,2876,1500,447,211,1073,1188
27,Chicago Bulls,65,2573,5762,793,2282,1006,1332,680,2041,6945,2721,1510,652,265,1005,1417
28,Golden State Warriors,65,2510,5730,678,2032,1214,1511,647,2138,6912,2785,1663,534,299,969,1304
29,New York Knicks,66,2638,5896,631,1872,1076,1550,795,2274,6983,3069,1456,504,313,946,1464
30,Charlotte Hornets,65,2425,5586,785,2231,1052,1406,715,2066,6687,2781,1549,428,268,949,1223
